Hour_of_Day,BORO,Age,Count_of_Incident
8,QUEENS,18-24,5
8,QUEENS,25-44,20
8,QUEENS,45-64,4
8,QUEENS,65+,1
8,STATEN ISLAND,18-24,3
8,STATEN ISLAND,25-44,5
8,STATEN ISLAND,65+,1
9,BRONX,<18,8
9,BRONX,18-24,23
9,BRONX,25-44,25
9,BRONX,45-64,2
9,BROOKLYN,18-24,25
9,BROOKLYN,25-44,44
9,BROOKLYN,45-64,8
9,MANHATTAN,<18,3
9,MANHATTAN,18-24,4
9,MANHATTAN,25-44,12
9,MANHATTAN,45-64,6
9,MANHATTAN,65+,1
9,QUEENS,<18,1
9,QUEENS,18-24,9
9,QUEENS,25-44,22
9,QUEENS,45-64,1
9,STATEN ISLAND,<18,1
9,STATEN ISLAND,25-44,1
9,STATEN ISLAND,45-64,3
10,BRONX,<18,7
10,BRONX,18-24,22
10,BRONX,25-44,34
10,BRONX,45-64,1
10,BRONX,65+,2
10,BROOKLYN,<18,6
10,BROOKLYN,18-24,34
10,BROOKLYN,25-44,59
10,BROOKLYN,45-64,18
10,BROOKLYN,65+,1
10,MANHATTAN,<18,1
10,MANHATTAN,18-24,6
10,MANHATTAN,25-44,19
10,MANHATTAN,45-64,2
10,MANHATTAN,65+,1
10,QUEENS,<18,3
10,QUEENS,18-24,18
10,QUEENS,25-44,26
10,QUEENS,45-64,8
10,STATEN ISLAND,18-24,2
10,STATEN ISLAND,25-44,1
10,STATEN ISLAND,45-64,1
11,BRONX,<18,5
11,BRONX,18-24,18
11,BRONX,25-44,43
11,BRONX,45-64,9
11,BRONX,65+,4
11,BROOKLYN,<18,11
11,BROOKLYN,18-24,34
11,BROOKLYN,25-44,80
11,BROOKLYN,45-64,27
11,BROOKLYN,65+,4
11,MANHATTAN,<18,5
11,MANHATTAN,18-24,10
11,MANHATTAN,25-44,16
11,MANHATTAN,65+,1
11,QUEENS,<18,3
11,QUEENS,18-24,23
11,QUEENS,25-44,25
11,QUEENS,45-64,8
11,QUEENS,65+,1
11,STATEN ISLAND,<18,1
11,STATEN ISLAND,18-24,6
11,STATEN ISLAND,25-44,8
11,STATEN ISLAND,65+,2
12,BRONX,<18,13
12,BRONX,18-24,50
12,BRONX,25-44,51
12,BRONX,45-64,18
12,BROOKLYN,<18,11
12,BROOKLYN,18-24,76
12,BROOKLYN,25-44,73
12,BROOKLYN,45-64,18
12,MANHATTAN,<18,5
12,MANHATTAN,18-24,11
12,MANHATTAN,25-44,31
12,MANHATTAN,45-64,5
12,MANHATTAN,65+,1
12,QUEENS,<18,5
12,QUEENS,18-24,25
12,QUEENS,25-44,42
12,QUEENS,45-64,9
12,QUEENS,65+,2
12,STATEN ISLAND,<18,1
12,STATEN ISLAND,18-24,3
12,STATEN ISLAND,25-44,3
12,STATEN ISLAND,45-64,6
13,BRONX,<18,8
13,BRONX,18-24,42
13,BRONX,25-44,57
13,BRONX,45-64,10
13,BROOKLYN,<18,18
13,BROOKLYN,18-24,94
13,BROOKLYN,25-44,97
13,BROOKLYN,45-64,20
13,BROOKLYN,65+,5
13,MANHATTAN,18-24,22
13,MANHATTAN,25-44,19
13,MANHATTAN,45-64,13
13,MANHATTAN,65+,2
13,QUEENS,<18,4
13,QUEENS,18-24,24
13,QUEENS,25-44,37
13,QUEENS,45-64,6
13,QUEENS,65+,1
13,STATEN ISLAND,<18,5
13,STATEN ISLAND,18-24,8
13,STATEN ISLAND,25-44,1
13,STATEN ISLAND,45-64,3
14,BRONX,<18,14
14,BRONX,18-24,51
14,BRONX,25-44,97
14,BRONX,45-64,14
14,BRONX,65+,7
14,BROOKLYN,<18,57
14,BROOKLYN,18-24,120
14,BROOKLYN,25-44,127
14,BROOKLYN,45-64,28
14,BROOKLYN,65+,8
14,MANHATTAN,<18,6
14,MANHATTAN,18-24,16
14,MANHATTAN,25-44,40
14,MANHATTAN,45-64,10
14,MANHATTAN,65+,2
14,QUEENS,<18,10
14,QUEENS,18-24,49
14,QUEENS,25-44,53
14,QUEENS,45-64,4
14,STATEN ISLAND,18-24,7
14,STATEN ISLAND,25-44,7
15,BRONX,<18,34
15,BRONX,18-24,86
15,BRONX,25-44,92
15,BRONX,45-64,23
15,BRONX,65+,3
15,BROOKLYN,<18,57
15,BROOKLYN,18-24,140
15,BROOKLYN,25-44,154
15,BROOKLYN,45-64,22
15,BROOKLYN,65+,3
